ds,y
5-Sep-2016,4361210.24
6-Sep-2016,4102536.78
7-Sep-2016,3951250.67
8-Sep-2016,3977641.46
9-Sep-2016,4503257.51
10-Sep-2016,4714420.58
11-Sep-2016,3435341.34
12-Sep-2016,3323083.01
13-Sep-2016,3524169.03
14-Sep-2016,5091049.62
15-Sep-2016,4744528.57
16-Sep-2016,6461910.45
17-Sep-2016,6703348.30
18-Sep-2016,4155423.10
19-Sep-2016,3651861.00
20-Sep-2016,3852851.28
21-Sep-2016,4046982.06
22-Sep-2016,4219665.12
23-Sep-2016,5124950.63
24-Sep-2016,5269485.03
25-Sep-2016,4045867.70
26-Sep-2016,3575832.54
27-Sep-2016,4004678.73
28-Sep-2016,4386548.12
29-Sep-2016,4931181.93
30-Sep-2016,5623468.77
1-Oct-2016,5766919.74
2-Oct-2016,4349483.69
3-Oct-2016,3789850.15
4-Oct-2016,4148563.25
5-Oct-2016,4500159.48
6-Oct-2016,4167124.84
7-Oct-2016,4578173.18
8-Oct-2016,4364593.12
9-Oct-2016,3135869.97
10-Oct-2016,2978008.25
11-Oct-2016,3464475.71
12-Oct-2016,6133724.01
13-Oct-2016,6089564.66
14-Oct-2016,6531029.46
15-Oct-2016,7075319.85
16-Oct-2016,5529226.55
17-Oct-2016,4837634.21
18-Oct-2016,5826598.95
19-Oct-2016,3647763.03
20-Oct-2016,3683600.97
21-Oct-2016,4989458.42
22-Oct-2016,4911933.11
23-Oct-2016,3877217.77
24-Oct-2016,3237550.93
25-Oct-2016,3623014.56
26-Oct-2016,3728159.71
27-Oct-2016,4375772.24
28-Oct-2016,5559558.15
29-Oct-2016,5885488.29
30-Oct-2016,4675611.44
31-Oct-2016,3773680.27
1-Nov-2016,4103475.09
2-Nov-2016,4546648.66
3-Nov-2016,4423610.95
4-Nov-2016,5405533.20
5-Nov-2016,5290928.07
6-Nov-2016,3900498.36
7-Nov-2016,3318914.96
8-Nov-2016,3350890.36
9-Nov-2016,5490255.31
10-Nov-2016,6088439.34
11-Nov-2016,7016414.37
12-Nov-2016,7004337.81
13-Nov-2016,5389726.66
14-Nov-2016,5070962.77
15-Nov-2016,5987223.01
16-Nov-2016,5398832.39
17-Nov-2016,4893235.58
18-Nov-2016,6409694.51
19-Nov-2016,6271655.44
20-Nov-2016,4992813.10
21-Nov-2016,4776053.05
22-Nov-2016,5570157.35
23-Nov-2016,6723629.95
24-Nov-2016,1608735.79
27-Nov-2016,8588539.61
28-Nov-2016,4256081.78
29-Nov-2016,4659801.40
30-Nov-2016,4980647.33
1-Dec-2016,4974570.29
5-Dec-2016,4951993.64
6-Dec-2016,5286672.07
7-Dec-2016,5567792.52
8-Dec-2016,5764190.09
9-Dec-2016,6681479.01
10-Dec-2016,7694292.76
11-Dec-2016,5264923.18
12-Dec-2016,4957282.75
13-Dec-2016,5548868.49
15-Dec-2016,8653068.00
18-Dec-2016,8994314.39
19-Dec-2016,8254239.66
21-Dec-2016,8178951.69
24-Dec-2016,7601847.73
26-Dec-2016,5374698.96
27-Dec-2016,4149916.30
28-Dec-2016,4292485.92
29-Dec-2016,5013219.99
30-Dec-2016,5928384.69
31-Dec-2016,4921261.31
1-Jan-2017,1922730.16
2-Jan-2017,3534349.08
3-Jan-2017,3585090.49
4-Jan-2017,3803867.56
5-Jan-2017,3871914.33
6-Jan-2017,4336066.73
7-Jan-2017,3555286.47
8-Jan-2017,2857469.81
9-Jan-2017,3140534.90
10-Jan-2017,3686917.24
11-Jan-2017,3661957.41
12-Jan-2017,4337271.37
13-Jan-2017,6124264.84
14-Jan-2017,5700511.24
15-Jan-2017,4281174.44
16-Jan-2017,4095512.67
17-Jan-2017,3382475.90
18-Jan-2017,3507021.91
19-Jan-2017,3659650.87
20-Jan-2017,3942712.64
